"Rk","G","Month","Day","Year","Age.Year","Age.Day","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","PM","Season","Date","Status","Name","LName"
39,39,1,26,1988,24,343,"CHI","@","IND","L (-4)",1,"40:00:00",13,26,0.5,1,1,1,7,10,0.7,2,5,7,5,2,1,6,5,34,20.9,NA,4,1988-01-26,"Regular Season","Michael","Jordan"
40,40,1,27,1988,24,344,"CHI","@","PHI","W (+10)",1,"46:00:00",12,21,0.571,1,1,1,12,12,1,2,2,4,7,2,1,2,5,37,32.7,NA,4,1988-01-27,"Regular Season","Michael","Jordan"
41,41,1,29,1988,24,346,"CHI","","NJN","W (+27)",1,"27:00:00",14,18,0.778,0,0,NA,4,5,0.8,0,1,1,4,10,2,3,1,32,35.7,NA,4,1988-01-29,"Regular Season","Michael","Jordan"
42,42,1,30,1988,24,347,"CHI","","NYK","W (+2)",1,"44:00:00",10,17,0.588,0,1,0,8,8,1,1,4,5,4,2,4,5,3,28,23.4,NA,4,1988-01-30,"Regular Season","Michael","Jordan"
43,43,2,1,1988,24,349,"CHI","@","SAC","L (-2)",1,"40:00:00",13,31,0.419,0,0,NA,11,15,0.733,0,5,5,3,5,2,4,4,37,23.3,NA,4,1988-02-01,"Regular Season","Michael","Jordan"
44,44,2,2,1988,24,350,"CHI","@","LAL","L (-9)",1,"40:00:00",14,26,0.538,0,0,NA,11,11,1,1,1,2,4,3,1,3,3,39,29.7,NA,4,1988-02-02,"Regular Season","Michael","Jordan"
45,45,2,4,1988,24,352,"CHI","@","PHO","W (+12)",1,"37:00:00",14,27,0.519,0,1,0,9,11,0.818,1,4,5,8,0,1,0,1,37,30.7,NA,4,1988-02-04,"Regular Season","Michael","Jordan"
46,46,2,9,1988,24,357,"CHI","","DET","L (-15)",1,"42:00:00",7,22,0.318,0,0,NA,6,8,0.75,1,6,7,9,4,0,2,4,20,15.8,NA,4,1988-02-09,"Regular Season","Michael","Jordan"
47,47,2,10,1988,24,358,"CHI","@","NJN","L (-9)",1,"37:00:00",10,23,0.435,0,2,0,14,15,0.933,2,2,4,4,1,3,3,3,34,25.2,NA,4,1988-02-10,"Regular Season","Michael","Jordan"
48,48,2,12,1988,24,360,"CHI","@","MIL","W (+2)",1,"43:00:00",9,19,0.474,0,1,0,9,10,0.9,0,6,6,8,0,0,3,3,27,20.1,NA,4,1988-02-12,"Regular Season","Michael","Jordan"
49,49,2,13,1988,24,361,"CHI","@","DET","L (-9)",1,"40:00:00",9,22,0.409,0,1,0,9,10,0.9,0,2,2,2,3,2,4,0,27,17.2,NA,4,1988-02-13,"Regular Season","Michael","Jordan"
50,50,2,15,1988,24,363,"CHI","","ATL","W (+19)",1,"38:00:00",13,22,0.591,0,0,NA,6,8,0.75,3,10,13,8,5,2,2,2,32,35.3,NA,4,1988-02-15,"Regular Season","Michael","Jordan"
51,51,2,19,1988,25,2,"CHI","","SAC","W (+21)",1,"38:00:00",19,27,0.704,0,0,NA,11,14,0.786,2,1,3,3,3,3,5,2,49,39.6,NA,4,1988-02-19,"Regular Season","Michael","Jordan"
52,52,2,21,1988,25,4,"CHI","@","CLE","L (-2)",1,"45:00:00",16,31,0.516,0,2,0,14,15,0.933,1,3,4,9,3,1,3,3,46,37.7,NA,4,1988-02-21,"Regular Season","Michael","Jordan"
53,53,2,23,1988,25,6,"CHI","","SEA","W (+7)",1,"48:00:00",11,29,0.379,0,0,NA,17,20,0.85,2,7,9,5,4,2,0,4,39,32.7,NA,4,1988-02-23,"Regular Season","Michael","Jordan"
54,54,2,26,1988,25,9,"CHI","","POR","L (-8)",1,"43:00:00",21,34,0.618,0,2,0,10,12,0.833,2,6,8,3,2,3,6,5,52,37.2,NA,4,1988-02-26,"Regular Season","Michael","Jordan"
55,55,2,27,1988,25,10,"CHI","","MIL","L (-3)",1,"44:00:00",16,27,0.593,0,0,NA,6,8,0.75,1,1,2,3,3,3,3,5,38,27.9,NA,4,1988-02-27,"Regular Season","Michael","Jordan"
56,56,2,29,1988,25,12,"CHI","@","PHI","L (-1)",1,"46:00:00",13,22,0.591,0,0,NA,9,13,0.692,1,4,5,4,2,0,3,1,35,26.5,NA,4,1988-02-29,"Regular Season","Michael","Jordan"
57,57,3,3,1988,25,15,"CHI","","PHI","W (+4)",1,"41:00:00",15,29,0.517,0,0,NA,6,9,0.667,0,10,10,7,3,2,5,4,36,26.2,NA,4,1988-03-03,"Regular Season","Michael","Jordan"
58,58,3,5,1988,25,17,"CHI","","LAC","W (+24)",1,"27:00:00",9,13,0.692,0,0,NA,3,4,0.75,0,6,6,4,4,2,2,2,21,22.3,NA,4,1988-03-05,"Regular Season","Michael","Jordan"
